TurbID,Day,Tmstamp,Wspd,Wdir,Etmp,Itmp,Ndir,Pab1,Pab2,Pab3,Prtv,Patv
46,1,00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,1,00:10,5.81,-0.03,29.88,37.54,-7.96,0.56,0.56,0.56,-0.09,392.3
46,1,00:20,5.54,-4.96,29.74,37.37,-7.96,0.4,0.4,0.4,-0.09,375.5
46,1,00:30,6.14,-3.9,29.7,37.29,-7.96,0.83,0.83,0.83,-0.07,438.35
46,1,00:40,5.83,-2.18,29.7,37.2,-7.96,0.05,0.05,0.05,-0.09,400
46,1,00:50,5.31,-7.15,29.56,37.09,-7.96,0.03,0.03,0.03,-0.09,335.35
46,1,01:00,5.85,-5.07,29.48,37.08,-7.96,0.04,0.04,0.04,-0.09,423.55
46,1,01:10,5.34,-6.96,29.32,36.98,-12.6,0.03,0.03,0.03,-0.1,365.2
46,1,01:20,4.8,2.63,29.16,36.84,-20.47,0.02,0.02,0.02,-0.07,291.99
46,1,01:30,4.83,3.08,29.05,36.74,-20.47,0.02,0.02,0.02,-0.04,280.24
46,1,01:40,5.15,2.12,28.92,36.55,-20.47,0.02,0.02,0.02,-0.07,345.48
46,1,01:50,5.16,-1.81,28.8,36.46,-20.47,0.02,0.02,0.02,-0.08,341.68
46,1,02:00,5.44,-3.72,28.71,36.31,-20.47,0.03,0.03,0.03,-0.09,386.63
46,1,02:10,6.15,-7.88,28.79,36.29,-20.47,0.1,0.1,0.1,-0.09,502.16
46,1,02:20,5.96,-4.09,28.87,36.29,-20.47,0.05,0.05,0.05,-0.07,467.83
46,1,02:30,5.81,-0.78,28.86,36.29,-20.47,0.7,0.7,0.7,-0.1,432.09
46,1,02:40,6.52,-5.39,28.9,36.3,-24.89,1.04,1.04,1.04,-0.08,547.24
46,1,02:50,6.02,-2.12,28.85,36.29,-33.05,1.25,1.25,1.25,-0.1,454.5
46,1,03:00,6.13,-3.1,28.82,36.35,-33.05,0.93,0.93,0.93,-0.08,461.61
46,1,03:10,6.27,-0.3,28.92,36.31,-33.05,1.06,1.06,1.06,-0.11,492.85
46,1,03:20,6.35,3.3,29.05,36.29,-33.05,1.13,1.13,1.13,-0.11,492.19
46,1,03:30,6.05,1.72,28.99,36.29,-33.05,0.58,0.58,0.58,-0.08,460.18
46,1,03:40,5.82,-2.59,28.94,36.32,-33.05,1.16,1.16,1.16,-0.08,443.87
46,1,03:50,6.29,-7.58,28.9,36.49,-33.05,2.22,2.22,2.22,-0.11,476.27
46,1,04:00,7.2,-3.8,28.9,36.48,-41.78,6.08,6.08,6.08,-0.11,477.36
46,1,04:10,7.07,4.08,28.9,36.22,-45.55,6.5,6.5,6.5,-0.05,443.66
46,1,04:20,7.52,8.73,28.95,35.91,-45.29,8.11,8.11,8.11,-0.1,426.47
46,1,04:30,8.51,-0.95,29.15,35.6,-33.03,9.86,9.86,9.86,-0.08,441.49
46,1,04:40,8.62,-4.38,29.22,35.6,-33.01,10.16,10.16,10.16,-0.08,449.74
46,1,04:50,8.3,-5.82,29.2,35.7,-33.01,9.86,9.86,9.86,-0.07,449.7
46,1,05:00,8.56,-5.3,29.29,35.7,-33.01,9.98,9.98,9.98,-0.09,445.11
46,1,05:10,8.32,-5.71,29.34,35.7,-33,9.4,9.4,9.4,-0.05,452.29
46,1,05:20,6.29,-10.03,29.28,35.95,-32.98,6.83,6.83,6.83,-0.06,445.55
46,1,05:30,7.13,-5.9,29.2,36.2,-32.98,6.31,6.31,6.31,-0.09,448.77
46,1,05:40,5.85,-6.39,29.11,36.23,-36.63,4.48,4.48,4.48,-0.1,392.66
46,1,05:50,7.42,0.41,29.02,36.23,-45.49,6.26,6.26,6.26,-0.1,453.31
46,1,06:00,7.16,-0.56,29.09,36.01,-45.49,6.39,6.39,6.39,-0.08,442.87
46,1,06:10,6.27,-5.4,29.08,36.1,-47.35,5.7,5.7,5.7,-0.08,409.34
46,1,06:20,8.34,-0.59,28.88,36.11,-57.99,10.97,10.97,10.97,-0.1,376.45
46,1,06:30,10.03,-0.89,28.66,35.45,-65.47,13.59,13.59,13.59,-0.1,407.1
46,1,06:40,11.73,3.85,28.51,34.62,-58.84,15.56,15.56,15.56,-0.13,446.89
46,1,07:20,11.74,3.86,28.08,33.14,-57.99,14.41,14.41,14.41,-0.1,519.66
46,1,07:30,11.78,3.98,27.86,32.9,-57.99,14.62,14.62,14.62,-0.08,494.27
46,1,07:40,12.63,3.05,27.67,32.71,-57.99,15,15,15,-0.12,550.72
46,1,07:50,12.51,1.16,27.5,32.54,-57.99,14.1,14.1,14.1,-0.08,585.78
46,1,08:10,12.32,-0.51,27.81,32.74,-57.99,12.61,12.61,12.61,-0.12,808.82
46,1,08:20,11.53,-3.3,28.03,33.09,-57.91,10.57,10.57,10.57,6.39,856.13
46,1,08:30,10.54,-8.04,28.31,33.7,-57.89,6.89,6.89,6.89,154.69,977.43
46,1,10:00,9.7,4.77,31.63,34.79,-50.88,14.88,14.89,14.89,60.07,642.75
46,1,10:10,10.19,-5.97,31.51,36.01,-45.27,2.97,2.97,2.97,88.44,1240.11
46,1,10:20,9.74,-6.54,31.63,36.77,-45.25,0.03,0.03,0.03,60.88,1234.85
46,1,10:30,9.2,-7.86,31.82,37.56,-45.25,0.01,0.02,0.02,9.09,1126.7
46,1,10:40,8.1,2.4,32.13,38.28,-42.03,0.02,0.03,0.03,-18.99,930.9
46,1,10:50,9.11,-7.31,32.32,38.84,-37.36,0.01,0.01,0.01,-58.53,1145.88
46,1,11:00,7.73,4.93,32.57,39.25,-40.13,0.03,0.01,0.03,-99.03,858.02
46,1,11:10,7.52,-2.12,32.87,39.65,-25.66,0.04,0.02,0.04,-180.17,777.27
46,1,11:20,7.12,3.51,33.03,40.22,-24.43,0.07,0.07,0.07,-251.65,712.28
46,1,11:30,6.95,-3.92,33.23,40.46,-11.64,0.01,0.01,0.01,-228.91,691.94
46,1,11:40,5.16,1.13,33.41,40.9,-14.34,0.01,0.01,0.01,-124.33,346.67
46,1,11:50,7.08,3.28,33.66,41.09,6.81,0.07,0.07,0.08,-259.46,709.17
46,1,12:00,7.1,-8,33.72,41.08,1.43,0.01,0.01,0.01,-216.81,647.7
46,1,12:10,6.86,5.74,33.93,41.1,5.11,0.01,0.01,0.02,-94.8,638.33
46,1,12:20,7.83,-6.88,34.03,41.24,1.16,0.04,0.04,0.04,-85.78,845.48
46,1,12:30,7.05,-7.44,34.19,41.7,-6.68,0.01,0.01,0.01,-161.56,669.87
46,1,12:40,6.82,4.37,34.49,41.86,10.31,0.01,0.01,0.01,-178.66,603.49
46,1,12:50,7.46,-2.21,34.59,42.06,8.05,0.07,0.07,0.07,-136.65,713.27
46,1,13:00,6.3,3.66,34.86,41.95,7.06,0.01,0.01,0.01,-109.8,539.44
46,1,13:10,7.15,-4.89,34.99,42.09,15.96,0.01,0.01,0.01,-169.6,695.56
46,1,13:20,6.17,1.62,35.05,42.43,0.97,0.01,0.01,0.01,-113.24,523.65
46,1,13:30,5.86,2.96,35.2,42.53,10.89,0.01,0.01,0.01,-75.75,413.08
46,1,13:40,5.83,-10.89,35.29,42.69,20.75,0.01,0.01,0.01,-262.96,414.99
46,1,13:50,6,2.66,35.42,42.85,14.03,0.03,0.03,0.03,-276.97,499.57
46,1,14:00,6.11,-6.86,35.6,42.93,26.78,0.01,0.01,0.01,-308.86,459.54
46,1,14:10,3.63,-7.07,35.7,43.2,-17.43,1.78,1.78,1.79,-118.59,145.07
46,1,14:20,3.12,9.97,36,43.83,-6.35,0.01,0.01,0.01,-82.97,96.54
46,1,14:30,4.85,-0.09,36.28,44.53,2.86,0.01,0.01,0.01,-207.98,278.95
46,1,14:40,4.81,11.2,36.29,44.05,29.48,0.01,0.01,0.01,-134.25,262.08
46,1,14:50,5.83,-9.52,36.24,43.9,34.99,0.01,0.01,0.01,-302.62,468.37
