TurbID,Day,Tmstamp,Wspd,Wdir,Etmp,Itmp,Ndir,Pab1,Pab2,Pab3,Prtv,Patv
14,1,00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1,00:10,6.74,-6.63,31.29,34.55,13.19,1.02,1.02,1.02,-0.15,464.69
14,1,00:20,6.7,-5.77,31.25,34.58,13.19,0.34,0.34,0.34,-0.15,485.71
14,1,00:30,6.83,-7.24,31.21,34.51,13.19,0.97,0.97,0.97,-0.13,453.53
14,1,00:40,6.49,-8.27,31.17,34.36,13.19,0.16,0.16,0.16,-0.16,408.95
14,1,00:50,6.57,-8.35,31.09,34.21,13.19,0.03,0.03,0.03,-0.17,432.91
14,1,01:00,6.67,-9.16,30.97,34.14,13.19,0.04,0.04,0.04,-0.15,424.4
14,1,01:10,6.65,-9.9,30.8,33.85,13.19,0.03,0.03,0.02,-0.16,410.52
14,1,01:20,6.6,-10.73,30.66,33.68,13.19,0.02,0.02,0.02,-0.15,390.12
14,1,01:30,6.21,-8.58,30.53,33.37,9.91,0.02,0.02,0.02,-0.14,351.24
14,1,01:40,6.14,-1.09,30.41,33.54,0.64,0.02,0.02,0.02,-0.18,408.83
14,1,01:50,6.31,-5.14,30.29,33.59,0.64,0.02,0.02,0.02,-0.14,405.26
14,1,02:00,6.34,-7.9,30.2,33.5,0.64,0.03,0.03,0.03,-0.12,373.77
14,1,02:10,6.28,-9.47,30.11,33.25,0.64,0.05,0.05,0.05,-0.16,368.87
14,1,02:20,6.23,-4.13,30.09,33.38,0.64,0.05,0.05,0.04,-0.14,425.08
14,1,02:30,7.22,-6.6,30.07,33.49,0.64,0.68,0.68,0.68,-0.15,523.92
14,1,02:40,6.77,-5.69,30,33.26,-9.77,1.43,1.43,1.43,-0.13,465.4
14,1,02:50,6.64,-7.69,29.92,33.1,-11.9,1.58,1.58,1.58,-0.15,416.82
14,1,03:00,6.58,-6.61,29.9,33.03,-11.9,1.45,1.45,1.45,-0.14,443.47
14,1,03:10,6.43,-5.24,29.9,33.13,-11.9,1.12,1.12,1.12,-0.15,443.07
14,1,03:20,6.02,-6.38,29.9,33.15,-11.9,1.13,1.13,1.13,-0.15,383.2
